road_width,latitude,longitude,quality,num_bedrooms,num_bathrooms,direction,age,land_area,usage_area,hospital_3km,convenience_store_3km,discount_store_3km,department_store_3km,education_3km,bank_3km,hospital_3km_shortest,convenience_store_3km_shortest,discount_store_3km_shortest,department_store_3km_shortest,education_3km_shortest,bank_3km_shortest,target,index_right
4.0,13.8942,100.37366,แย่,3,1,,9,58,151,19,16,5,0,7,2,0.654,0.563,1.529,0.0,1.808,2.787,3650000,0
4.0,13.83227,100.51246,แย่,1,4,,20,17,107,156,178,4,0,120,87,0.381,0.364,0.381,0.0,0.552,0.815,1460000,0
6.0,13.90573,100.39617,ดี,1,3,ทิศตะวันออกเฉียงเหนือ,29,18,100,43,37,14,0,17,9,0.249,0.224,0.275,0.0,0.33,0.234,1250000,0
4.0,13.952802,100.37056,แย่,2,1,,19,21,128,16,16,2,0,4,1,0.624,0.241,1.332,0.0,1.26,0.124,1300000,0
4.0,13.93398,100.34521,ดี,2,2,,14,18,72,11,14,2,0,7,0,0.735,0.863,1.996,0.0,1.052,0.0,730000,0
4.0,13.89381,100.39658,ดีมาก,4,3,,24,16,87,70,59,14,2,14,28,0.399,0.475,0.348,2.408,0.53,1.491,1415000,0
4.0,13.804545,100.489851,ค่อนข้างแย่,5,3,,0,21,150,125,118,9,0,116,49,0.152,0.146,0.192,0.0,0.245,1.369,3500000,0
4.0,13.920573,100.347336,แย่,5,1,,17,18,72,10,17,2,0,4,0,1.235,0.538,1.447,0.0,1.244,0.0,750000,0
4.0,13.89374,100.39557,พอใช้,5,4,,21,30,93,70,59,14,2,14,28,0.444,0.49,0.277,2.474,0.531,1.547,1450000,0
4.0,13.92869,100.36287,แย่,2,1,,0,74,168,13,21,2,0,8,1,0.632,0.602,1.245,0.0,0.634,2.733,3646600,0
6.0,13.90386,100.36494,พอใช้,3,4,,18,18,113,12,18,2,0,2,0,1.295,0.453,1.34,0.0,1.437,0.0,1450000,0
6.0,13.924305,100.406208,ดี,4,1,ทิศตะวันตกเฉียงใต้,24,20,111,56,44,9,0,22,19,0.419,0.477,0.471,0.0,0.738,1.216,1500000,0
4.0,13.813902,100.400175,ดีมาก,1,1,,11,54,178,20,35,7,0,35,19,0.718,0.486,0.534,0.0,0.534,0.805,3670000,0
4.0,13.96384,100.33695,พอใช้,3,1,,19,16,116,12,14,3,0,4,0,1.115,0.921,1.136,0.0,2.336,0.0,1250000,0
4.0,13.943378,100.365092,ดีมาก,4,1,,14,16,96,16,17,2,0,5,1,0.477,0.455,0.463,0.0,0.338,1.118,780000,0
4.0,13.917552,100.364036,พอใช้,1,1,,21,16,114,16,17,2,0,8,0,0.523,0.325,1.453,0.0,1.583,0.0,1450000,0
6.0,13.85222085,100.50045612,พอใช้,2,3,ทิศตะวันออกเฉียงใต้,32,16,129,173,157,9,1,71,75,0.468,0.444,0.989,1.519,0.728,0.91,1900000,0
4.0,13.916151,100.393769,แย่,5,1,,22,16,110,51,38,11,0,14,7,0.37,0.395,0.405,0.0,0.86,0.408,1400000,0
4.0,13.91389,100.50282,ดีมาก,3,2,,19,16,112,86,72,6,2,51,30,0.527,0.196,0.695,2.974,0.606,0.557,1450000,0
4.0,13.839169,100.449326,พอใช้,2,1,ทิศตะวันตกเฉียงเหนือ,30,16,92,39,56,3,0,36,4,0.243,0.278,1.152,0.0,0.155,1.949,1200000,0
4.0,13.831944,100.359979,แย่,1,4,,0,18,42,5,10,1,0,8,3,1.091,0.91,1.09,0.0,1.092,2.415,520000,0
4.0,13.94501,100.3444,แย่,1,2,,17,16,90,12,15,2,0,7,1,0.896,0.883,2.049,0.0,1.488,2.832,750000,0
6.0,13.88002,100.41393,ดีมาก,1,2,ทิศตะวันออกเฉียงเหนือ,31,16,94,82,62,10,2,24,29,0.105,0.044,0.1,0.431,0.684,0.227,1390000,0
4.0,13.928969,100.353241,ดี,2,4,,23,18,114,12,17,2,0,8,0,0.501,0.227,1.583,0.0,0.451,0.0,1470000,0
6.0,13.933009,100.346476,แย่,3,1,ทิศตะวันตกเฉียงเหนือ,24,18,60,10,15,2,0,7,0,0.595,0.714,1.907,0.0,1.091,0.0,900000,0
4.0,13.97194,100.3267,แย่,1,2,,12,24,140,7,11,3,0,3,1,0.739,0.898,1.064,0.0,1.739,1.578,1480000,0
6.0,13.878199,100.373889,พอใช้,1,3,ทิศเหนือ,9,17,85,7,12,3,0,1,0,0.41,0.532,0.815,0.0,1.2,0.0,1550000,0
4.0,13.88072,100.53309,ดี,4,2,,6,30,258,235,152,14,2,116,61,0.405,0.238,0.686,2.578,0.194,0.867,3560000,0
6.0,13.909764,100.497541,ค่อนข้างแย่,4,2,ทิศตะวันออกเฉียงใต้,38,59,183,78,73,3,0,42,32,0.135,0.269,0.342,0.0,0.178,0.162,4300000,0
4.0,13.83635,100.37354,ดี,2,4,,7,18,98,4,11,1,0,9,3,0.457,0.44,1.127,0.0,1.269,1.85,800000,0
4.0,13.937913,100.518444,ดี,4,4,,25,16,108,34,55,6,0,28,15,0.265,0.114,0.605,0.0,0.571,1.174,1300000,0
6.0,13.925902,100.345352,ดีมาก,5,3,ทิศตะวันตกเฉียงเหนือ,18,51,119,12,17,2,0,8,0,1.09,0.321,2.07,0.0,0.791,0.0,2900000,0
6.0,13.881016,100.399288,แย่,3,3,ทิศตะวันออกเฉียงเหนือ,27,16,93,62,60,14,2,14,30,0.188,0.321,0.247,1.328,0.683,0.697,1450000,0
4.0,13.88191,100.41481,แย่,4,1,,18,16,92,84,66,10,2,25,29,0.187,0.187,0.181,0.654,0.65,0.454,1250000,0
6.0,13.93022,100.34869,ดีมาก,2,3,ทิศตะวันออกเฉียงใต้,22,18,104,13,15,2,0,8,0,0.495,0.375,1.852,0.0,0.922,0.0,1343000,0
4.0,13.92447,100.507657,ดี,5,1,,23,19,117,75,74,7,0,43,34,1.195,0.501,1.343,0.0,0.294,1.518,1500000,0
4.0,13.904313,100.408717,ค่อนข้างแย่,3,2,,17,23,96,91,67,18,0,26,36,0.323,0.279,0.691,0.0,0.977,1.478,1500000,0
4.0,13.92011,100.38648,พอใช้,5,2,,14,28,122,40,27,8,0,10,5,1.123,0.73,1.166,0.0,0.764,1.18,920000,0
4.0,13.91637,100.4385,ดี,3,3,,12,30,145,38,43,4,0,29,21,1.052,0.144,0.432,0.0,1.406,1.411,1500000,0
